web-scraper-order;web-scraper-start-url;Title;Date;URL;URL-href;
1685234117-85;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Ablöse für Hartz IV kommt;14.09.2022;;https://www.sueddeutsche.de/politik/hartz-iv-abloese-buergergeld-1.5657302;
1685234117-86;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Bergkarabach: Krieg in Russlands Hinterhof;14.09.2022;;https://www.sueddeutsche.de/politik/podcast-nachrichten-bergkarabach-krieg-in-russlands-hinterhof-1.5657150;
1685234117-87;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Das Streiflicht;13.09.2022;;https://www.sueddeutsche.de/politik/glosse-das-streiflicht-1.5656576;
1685234117-88;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Scholz verspricht Unternehmen Hilfe;13.09.2022;;https://www.sueddeutsche.de/politik/scholz-arbeitgebertag-habeck-dulger-1.5656524;
1685234117-89;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Olaf Scholz gibt den Macher;13.09.2022;;https://www.sueddeutsche.de/politik/olaf-scholz-arbeitgebertag-1.5656440;
1685234117-90;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Studie: Sanktionen verstärken psychosoziale Probleme;12.09.2022;;https://www.sueddeutsche.de/wirtschaft/hartz-iv-sanktionen-1.5655722;
1685234117-91;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;502 Euro Bürgergeld;11.09.2022;;https://www.sueddeutsche.de/politik/hubertus-heil-zu-hartz-iv-erhoehung-502-euro-buergergeld-1.5655139;
1685234117-92;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Wer von den Entlastungspaketen profitiert;11.09.2022;;https://www.sueddeutsche.de/wirtschaft/entlastungspaket-energiekosten-regierung-proteste-1.5654424;
1685234117-93;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Zehn Milliarden Euro in der Fußnote;08.09.2022;;https://www.sueddeutsche.de/politik/entlastungspaket-christian-lindner-kosten-1.5653043;
1685234117-94;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Söders Hartz-IV-Äußerungen sind schwer erträglich;07.09.2022;;https://www.sueddeutsche.de/bayern/soeder-csu-hartz-iv-arbeitslose-gillamoos-abensberg-bayern-1.5651631;
1685234117-95;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;"Bierzelt ist halt Bierzelt" - oder?;06.09.2022;;https://www.sueddeutsche.de/bayern/markus-soeder-arbeitslose-gillamoos-bayern-hartz-iv-csu-bierzelt-1.5652270;
1685234117-96;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Kompromisse in der Krise;06.09.2022;;https://www.sueddeutsche.de/meinung/entlastungen-ampel-uebergewinnsteuer-zufallsgewinne-angebotsschock-atomkraft-1.5651556;
1685234117-97;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Wer vom Entlastungspaket profitiert;05.09.2022;;https://www.sueddeutsche.de/politik/entlastungspaket-sozial-zielgenau-1.5651613;
1685234117-98;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Ein paar Konflikte bleiben;05.09.2022;;https://www.sueddeutsche.de/politik/berlin-ein-paar-konflikte-bleiben-1.5651618;
1685234117-99;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;Trotz Entlastungspaket: "Für viele wird es ein schwieriger Winter";05.09.2022;;https://www.sueddeutsche.de/politik/podcast-nachrichten-entlastungspaket-bundesregierung-1.5651548;
1685234117-100;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;So viel Staat war noch nie;05.09.2022;;https://www.sueddeutsche.de/meinung/entlastungen-staat-buergergeld-wohngeld-1.5651196;
1685234117-101;https://www.sueddeutsche.de/news/page/4?search=B%C3%BCrgergeld&sort=date&all%5B%5D=dep&typ%5B%5D=article&sys%5B%5D=sz&catsz%5B%5D=alles&time=2013-01-01T00%3A00%2F2013-06-19T23%3A59&startDate=01.08.2022&endDate=31.01.2023;So will die Regierung die Deutschen entlasten;04.09.2022;;https://www.sueddeutsche.de/politik/koalitionsgipfel-so-will-die-regierung-die-deutschen-entlasten-1.5650903;
